"30.443284|-90.078758"
"30.520821|-92.065731"
"35.4485424|-97.4261536"
"29.607776|-90.751843"
"33.971139|-83.996583"
"29.5571658|-95.7599175"
"32.743608|-103.160521"
"27.985901|-82.118861"
"37.1407311|-83.7729955"
"38.725327|-87.700208"
"29.6385123|-81.6809655"
"30.278393|-89.749073"
"27.552401|-99.506573"
"37.117108|-82.794907"
"32.551232|-82.972249"
"38.785465|-97.61503"
"41.457702|-91.025199"
"39.808617|-94.811755"
"31.197949|-82.32106"
"32.40464|-98.793031"
"28.913697|-81.2788792"
"33.562105|-86.518619"
"35.463405|-97.622266"
"38.424985|-96.219695"
"32.066152|-96.505841"
"38.050712|-87.307191"
"30.539125|-96.700254"
"36.245588|-85.939041"
"38.230487|-84.538624"
"32.393736|-94.865301"
"37.075612|-85.334473"
"38.930632|-94.363615"
"34.084165|-84.481231"
"36.159391|-95.883238"
"33.64698|-78.981088"
"35.838403|-83.574228"
"29.856133|-81.325575"
"42.012119|-92.908946"
"29.116838|-81.019502"
"27.9070533|-81.8334249"
"38.678945|-84.597128"
"36.513272|-84.506121"
"34.94418|-80.963138"
"35.929108|-85.489893"
"38.880878|-94.758164"
"33.857892|-79.091184"
"38.088497|-85.66386"
"31.624849|-84.213742"
"32.664652|-97.405728"
"37.568988|-97.274999"
"31.484879|-82.848265"
"33.481376|-84.443322"
"26.180441|-97.716899"
"38.378008|-84.30593"
"37.786284|-89.028816"
"36.508678|-82.519136"
"31.426283|-100.509126"
"40.726452|-99.081096"
"35.570126|-100.969822"
"30.123448|-95.457761"
"31.268054|-85.441109"
"40.537969|-89.594843"
"35.017074|-99.10422"
"31.9867025|-81.0825278"
"32.04225|-81.00334"
"39.724869|-91.400117"
"32.207348|-98.237766"
"29.258744|-81.115002"
"32.029805|-102.148753"
"33.450048|-104.526774"
"33.059904|-85.031485"
"34.202913|-84.787531"
"39.485111|-88.155374"
"39.101072|-87.424032"
"33.5241622|-80.8910894"
"33.890811|-84.758895"
"35.460395|-85.043829"
"36.545412|-82.235082"
"35.56241|-97.653994"
"33.892389|-79.751262"
"26.679553|-81.898523"
"32.7249201|-102.6666609"
"34.280231|-81.592295"
"33.393724|-79.286271"
"34.4358664|-79.3765944"
"34.726994|-81.641145"
"34.8284813|-82.5494312"
"32.950336|-80.155096"
"34.193435|-79.820891"
"41.22115|-89.922169"
"34.250827|-80.649858"
